1,9780002005883,Gilead,2004,Fiction,Good,Marilynne Robinson,2005883,No Comment
2,9780002261982,Spider's Web,2000,Detective and mystery stories,Bad,Charles Osborne;Agatha Christie,2261987,No Comment
3,9780006163831,The One Tree,1982,American fiction,Good,Stephen R. Donaldson,6163831,No Comment
4,9780006178736,Rage of angels,1993,Fiction,Bad,Sidney Sheldon,6178731,No Comment
5,9780006280897,The Four Loves,2002,Christian life,Good,Clive Staples Lewis,6280897,No Comment
6,9780006280934,The Problem of Pain,2002,Christian life,Bad,Clive Staples Lewis,6280935,No Comment
7,9780006353287,An Autobiography,1977,"Authors, English",Good,Agatha Christie,6353282,No Comment
8,9780006380832,Empires of the Monsoon,1998,"Africa, East",Bad,Richard Hall,6380832,No Comment
9,9780006470229,The Gap Into Madness,1994,"Hyland, Morn (Fictitious character)",Good,Stephen R. Donaldson,000647022X,No Comment
10,9780006472612,Master of the Game,1982,Adventure stories,Bad,Sidney Sheldon,6472613,No Comment
11,9780006479673,If Tomorrow Comes,1994,Adventure stories,Good,Sidney Sheldon,6479677,No Comment
12,9780006480099,Assassin's Apprentice,1996,American fiction,Bad,Robin Hobb,6480098,No Comment
13,9780006482079,Warhost of Vastmark,1995,Fiction,Good,Janny Wurts,6482074,No Comment
14,9780006483014,The Once and Future King,1996,Arthurian romances,Bad,Terence Hanbury White,6483011,No Comment
15,9780006483892,Murder in LaMut,2003,Adventure stories,Good,Raymond E. Feist;Joel Rosenberg,6483895,No Comment
16,9780006483908,Jimmy the Hand,2003,Fantasy fiction,Bad,Raymond E. Feist;S. M. Stirling,6483909,No Comment
17,9780006486145,Well of Darkness,2001,,Good,Margaret Weis;Tracy Hickman,6486142,No Comment
18,9780006490456,Witness for the Prosecution & Selected Plays,1995,English drama,Bad,Agatha Christie,000649045X,No Comment
19,9780006496434,The Little House,1998,Country life,Good,Philippa Gregory,6496431,No Comment
20,9780006496878,Mystical Paths,1996,English fiction,Bad,Susan Howatch,6496873,No Comment
21,9780006496892,Glittering Images,1996,English fiction,Good,Susan Howatch,000649689X,No Comment
22,9780006496922,Glamorous Powers,1996,Clergy,Bad,Susan Howatch,000649692X,No Comment
23,9780006498865,The Mad Ship,2000,Fantasy fiction,Good,Robin Hobb,6498868,No Comment
24,9780006499169,Post Captain,1996,"Aubrey, Jack (Fictitious character)",Bad,Patrick O'Brian,6499163,No Comment
25,9780006499268,The Reverse of the Medal,1997,Adventure stories,Good,Patrick O'Brian,6499260,No Comment
26,9780006499626,Miss Marple,1997,"Detective and mystery stories, English",Bad,Agatha Christie,6499627,No Comment
27,9780006511489,The Years of Rice and Salt,2003,Black Death,Good,Kim Stanley Robinson,6511481,No Comment
28,9780006512677,Spares,1998,Human cloning,Bad,Michael Marshall Smith,6512674,No Comment
29,9780006513087,Gravity,2004,Science fiction,Good,Tess Gerritsen,6513085,No Comment
30,9780006514640,The Wise Woman,2002,Great Britain,Bad,Philippa Gregory,6514642,No Comment
31,9780006514855,Girls' Night in,2000,American fiction,Good,Jessica Adams;Chris Manby;Fiona Walker,6514855,No Comment
32,9780006545866,The White Album,1993,American essays,Bad,Joan Didion,6545866,No Comment
33,9780006550433,The Bonesetter's Daughter,2001,China,Good,Amy Tan,6550436,No Comment
34,9780006551393,The Lexus and the Olive Tree,2000,Capitalism,Bad,Thomas L. Friedman,6551394,No Comment
35,9780006551812,'Tis,2000,Ireland,Good,Frank McCourt,6551815,No Comment
36,9780006646006,Ocean Star Express,2002,Juvenile Fiction,Bad,Mark Haddon;Peter Sutton,000664600X,No Comment
37,9780006754893,A Small Pinch of Weather,2000,"Children's stories, English",Good,Joan Aiken,6754899,No Comment
38,9780006906018,The Princess of the Chalet School,2000,Juvenile Fiction,Bad,Elinor Mary Brent-Dyer,000690601X,No Comment
39,9780007103676,Koko,2001,Male friendship,Good,Peter Straub,7103670,No Comment
40,9780007105045,Tree and Leaf,2001,Literary Collections,Bad,John Ronald Reuel Tolkien,7105045,No Comment
41,9780007111503,Partners in Crime,2001,"Beresford, Tommy (Fictitious character)",Good,Agatha Christie,7111509,No Comment
42,9780007113804,Murder in Mesopotamia,2001,Detective and mystery stories,Bad,Agatha Christie,7113803,No Comment
43,9780007116263,"The Lord of the Rings, the Return of the King",2003,Imaginary wars and battles,Good,Jude Fisher,7116268,No Comment
44,9780007117536,All Families are Psychotic,2002,Dysfunctional families,Bad,Douglas Coupland,7117531,No Comment
45,9780007119332,Death in the Clouds,2001,Detective and mystery stories,Good,Agatha Christie,000711933X,No Comment
46,9780007119356,Appointment with Death,2001,Detective and mystery stories,Bad,Agatha Christie,7119356,No Comment
47,9780007120680,Hallowe'en Party,2001,"Poirot, Hercule (Fictitious character)",Good,Agatha Christie,7120680,No Comment
48,9780007120697,Hercule Poirot's Christmas,2001,Christmas stories,Bad,Agatha Christie,7120699,No Comment
49,9780007120819,The Big Four,2002,Detective and mystery stories,Good,Agatha Christie,7120818,No Comment
50,9780007120864,The Thirteen Problems,2002,"Detective and mystery stories, English",Bad,Agatha Christie,7120869,No Comment
51,9780007120871,They Do it with Mirrors,2002,American fiction,Good,Agatha Christie,7120877,No Comment
52,9780007120963,A Murder is Announced,2002,"Detective and mystery stories, English",Bad,Agatha Christie,7120966,No Comment
53,9780007120987,The Mirror Crack'd from Side to Side,2002,"Marple, Jane (Fictitious character)",Good,Agatha Christie,7120982,No Comment
54,9780007121007,Mrs McGinty's Dead,2002,Belgians,Bad,Agatha Christie,7121008,No Comment
55,9780007121014,Taken at the Flood,2002,Fiction,Good,Agatha Christie,7121016,No Comment
56,9780007121021,The Hollow,2002,Detective and mystery stories,Bad,Agatha Christie,7121024,No Comment
57,9780007121106,Third Girl,2002,Belgians,Good,Agatha Christie,7121105,No Comment
58,9780007122585,The Secret of Chimneys,2001,"Battle, Superintendent (Fictitious character)",Bad,Agatha Christie,7122586,No Comment
59,9780007124015,The Lord of the Rings,2001,"Baggins, Frodo (Fictitious character)",Good,J. R. R. Tolkien,7124015,No Comment
60,9780007126903,The Metaphysical Club,2002,Cambridge (Mass.),Bad,Louis Menand,7126905,No Comment
61,9780007127740,The illustrated man,2002,Fiction,Good,Ray Bradbury,000712774X,No Comment
