1,3009,25355,3093
2,3010,27807,6300
3,3011,621,1412
4,3012,25381,3376
5,3013,20986,8019
6,3014,12794,1551
7,3015,9482,5667
8,3016,8846,8573
9,3017,8389,8697
10,3018,6696,5976
11,3019,7402,3216
12,3020,19482,2752
13,3021,18502,774
14,3022,11419,1543
15,3023,6865,8180
16,3024,22218,5661
17,3025,12076,3987
18,3026,23640,9217
19,3027,19369,5998
20,3028,9951,5433
21,3029,27821,2858
22,3030,5380,7089
23,3031,24299,4844
24,3032,13302,7872
25,3033,21343,5334
26,3034,16087,5771
27,3035,25549,2555
28,3036,19052,6019
29,3037,25527,8274
30,3038,18156,3649
31,3039,20993,7057
32,3040,4799,7267
33,3041,22161,2550
34,3042,10085,7208
35,3043,10581,6478
36,3044,24907,2927
37,3045,4362,6019
38,3046,22319,940
39,3047,14915,556
40,3048,26578,8401
41,3049,12451,4795
42,3050,13761,4509
43,3051,3554,5711
44,3052,3988,1545
45,3053,23216,1520
46,3054,24955,1471
47,3055,22103,3111
48,3056,25046,4869
49,3057,123,604
50,3058,21132,261
51,3059,15011,7376
52,3060,14099,5793
53,3061,9298,1747
54,3062,10447,5698
55,3063,8885,1588
56,3064,13357,6533
57,3065,17326,1304
58,3066,12417,1377
59,3067,1773,7971
60,3068,9480,5560
61,3069,600,6188
62,3070,9597,4014
63,3071,14796,3246
64,3072,27198,4373
65,3073,18439,8658
66,3074,937,7636
67,3075,15598,4504
68,3076,26389,2751
69,3077,24818,1784
70,3078,22647,596
71,3079,22172,2817
72,3080,6897,8664
73,3081,22673,7185
74,3082,6777,2578
75,3083,19514,8108
76,3084,18386,2580
77,3085,25014,438
78,3086,8614,741
79,3087,25346,6407
80,3088,14802,1203
81,3089,24933,4932
82,3090,25000,7434
83,3091,21570,7345
84,3092,24436,6064
85,3093,10878,3064
86,3094,2336,8158
87,3095,15090,6062
88,3096,5524,141
89,3097,16537,6536
90,3098,25735,2108
91,3099,18269,4549
92,3100,5665,148
93,3101,5763,7423
94,3102,19315,1743
95,3103,12997,2999
96,3104,7471,2739
97,3105,11661,4428
98,3106,706,4986
99,3107,25299,7322
100,3108,11183,4673
101,3109,17814,3280
102,3110,25232,5765
