1,ANCHOR POINT,2,No
2,ANCHORAGE,2,No
3,ANDERSON,2,No
4,BETHEL,2,No
5,BIG LAKE,2,No
6,CANTWELL,2,No
7,CHINIAK,2,No
8,COLD BAY,2,No
9,COOPER LANDING,2,No
10,CORDOVA,2,No
11,CRAIG,2,No
12,DEERING,2,No
13,DELTA JUNCTION,2,No
14,DILLINGHAM,2,No
15,EAGLE,2,No
16,FAIRBANKS,2,No
17,GALENA,2,No
18,GLENNALLEN,2,No
19,GUSTAVUS,2,No
20,HAINES,2,No
21,HEALY,2,No
22,HOLLIS,2,No
23,HOMER,2,No
24,HOPE,2,No
25,JUNEAU,2,No
26,KASILOF,2,No
27,KENAI,2,No
28,KETCHIKAN,2,No
29,KODIAK,2,No
30,KOTZEBUE,2,No
31,MCGRATH,2,No
32,METLAKATLA,2,No
33,NAKNEK,2,No
34,NENANA,2,No
35,NINILCHIK,2,No
36,NOME,2,No
37,PALMER,2,No
38,PELICAN,2,No
39,PETERSBURG,2,No
40,PORT LIONS,2,No
41,ST. PAUL,2,No
42,SELDOVIA,2,No
43,SEWARD,2,No
44,SITKA,2,No
45,SKAGWAY,2,No
46,SOLDOTNA,2,No
47,SUTTON,2,No
48,TAKOTNA,2,No
49,TALKEETNA,2,No
50,TANANA,2,No
51,TENAKEE SPRINGS,2,No
52,TOK,2,No
53,VALDEZ,2,No
54,WASILLA,2,No
55,WILLOW,2,No
56,WRANGELL,2,No
57,AKIAK,2,No
58,KENNY LAKE,2,No
59,UTQIAGVIK,2,No
60,AKIACHAK,2,No
61,MOOSE PASS,2,No
62,NIKOLAI,2,No
63,SAND POINT,2,No
64,EGEGIK,2,No
65,TRAPPER CREEK,2,No
66,HOLY CROSS,2,No
67,OUZINKIE,2,No
68,UNALASKA,2,No
69,ANIAK,2,No
70,HYDER,2,No
71,SHAGELUK,2,No
72,ANVIK,2,No
73,GRAYLING,2,No
74,LAKE MINCHUMINA,2,No
75,IGIUGIG,2,No
76,COFFMAN COVE,2,No
77,THORNE BAY,2,No
78,WHALE PASS,2,No
79,KLUKWAN,2,No
80,PEDRO BAY,2,No
81,EDNA BAY,2,No
82,JASPER,1,No
83,ARLEY,1,No
84,DOUBLE SPRINGS,1,No
85,HALEYVILLE,1,No
86,JASPER,1,No
87,SUMITON,1,No
88,HEFLIN,1,No
89,ROANOKE,1,No
90,ASHLAND,1,No
91,SYLACAUGA,1,No
92,CENTRE,1,No
93,CHILDERSBURG,1,No
94,LINCOLN,1,No
95,LINEVILLE,1,No
96,HEFLIN,1,No
97,OXFORD,1,No
98,TALLADEGA,1,No
99,ABBEVILLE,1,No
100,HEADLAND,1,No
101,BRUNDIDGE,1,No
102,OZARK,1,No
103,CLIO,1,No
104,LOUISVILLE,1,No
105,MIDLAND CITY,1,No
106,NEWTON,1,No
107,CLAYTON,1,No
108,TROY,1,No
109,UNION SPRINGS,1,No
110,ANDALUSIA,1,No
111,BRANTLEY,1,No
112,ELBA,1,No
113,GENEVA,1,No
114,ENTERPRISE,1,No
115,FLORALA,1,No
116,HARTFORD,1,No
117,LUVERNE,1,No
118,OPP,1,No
119,SAMSON,1,No
120,SLOCOMB,1,No
121,DADEVILLE,1,No
122,ALEXANDER CITY,1,No
123,DADEVILLE,1,No
124,GOODWATER,1,No
125,AUBURN,1,No
126,OPELIKA,1,No
127,MILLBROOK,1,No
128,ROCKFORD,1,No
129,TALLASSEE,1,No
130,WETUMPKA,1,No
131,FLORENCE,1,No
132,TUSCUMBIA,1,No
133,LEIGHTON,1,No
134,MUSCLE SHOALS,1,No
135,ROGERSVILLE,1,No
136,SHEFFIELD,1,No
137,WINFIELD,1,No
138,HAMILTON,1,No
139,KENNEDY,1,No
140,GUIN,1,No
141,MILLPORT,1,No
142,RUSSELLVILLE,1,No
143,SULLIGENT,1,No
144,VERNON,1,No
145,RED BAY,1,No
146,WINFIELD,1,No
147,ATHENS,1,No
148,DECATUR,1,No
149,HARTSELLE,1,No
150,MOULTON,1,No
151,ROBERTSDALE,1,No
152,DAPHNE,1,No
153,FAIRHOPE,1,No
154,FOLEY,1,No
155,BAY MINETTE,1,No
156,LOXLEY,1,No
157,SILVERHILL,1,No
158,ROBERTSDALE,1,No
159,GULF SHORES,1,No
160,ADAMSVILLE,1,No
161,BESSEMER,1,No
162,MOUNTAIN BROOK,1,No
163,FAIRFIELD,1,No
164,FULTONDALE,1,No
165,GARDENDALE,1,No
166,GRAYSVILLE,1,No
167,HOMEWOOD,1,No
168,HOOVER,1,No
169,HUEYTOWN,1,No
170,IRONDALE,1,No
171,LEEDS,1,No
172,MIDFIELD,1,No
173,PLEASANT GROVE,1,No
174,TARRANT,1,No
175,TRUSSVILLE,1,No
176,VESTAVIA HILLS,1,No
177,WARRIOR,1,No
178,BIRMINGHAM,1,No
179,FORT PAYNE,1,No
180,COLLINSVILLE,1,No
181,GERALDINE,1,No
182,RAINSVILLE,1,No
183,ATMORE,1,No
184,ATMORE,1,No
185,BREWTON,1,No
186,FLOMATON,1,No
187,GADSDEN,1,No
188,ATTALLA,1,No
189,RAINBOW CITY,1,No
190,DEMOPOLIS,1,No
191,LINDEN,1,No
192,GUNTERSVILLE,1,No
193,ARAB,1,No
194,BOAZ,1,No
195,GUNTERSVILLE,1,No
196,ALBERTVILLE,1,No
197,COLUMBIANA,1,No
198,ALABASTER,1,No
199,CALERA,1,No
200,COLUMBIANA,1,No
201,HELENA,1,No
202,VINCENT,1,No
203,MONTEVALLO,1,No
204,PELHAM,1,No
205,WILSONVILLE,1,No
206,BIRMINGHAM,1,No
207,ALICEVILLE,1,No
208,CARROLLTON,1,No
209,GORDO,1,No
210,REFORM,1,No
211,ASHVILLE,1,No
212,MOODY,1,No
213,ODENVILLE,1,No
214,PELL CITY,1,No
215,YORK,1,No
216,LIVINGSTON,1,No
217,ANNISTON,1,No
218,JACKSONVILLE,1,No
219,PIEDMONT,1,No
220,AKRON,1,No
221,DOTHAN,1,No
222,BLOUNTSVILLE,1,No
223,CHEROKEE,1,No
224,CENTREVILLE,1,No
